
2025/05/08 (16:59:11) | ===> btop++ v.1.4.0
2025/05/08 (16:59:11) | WARNING: Failed to join _runner thread on exit!

2025/05/09 (04:22:46) | ===> btop++ v.1.4.0
2025/05/09 (04:22:46) | WARNING: Failed to join _runner thread on exit!

2025/05/09 (04:33:09) | ===> btop++ v.1.4.0
2025/05/09 (04:33:09) | WARNING: Failed to join _runner thread on exit!

2025/05/09 (04:36:22) | ===> btop++ v.1.4.0
2025/05/09 (04:36:22) | WARNING: Failed to join _runner thread on exit!

2025/05/09 (04:53:12) | ===> btop++ v.1.4.0
2025/05/09 (04:53:12) | WARNING: Failed to join _runner thread on exit!

2025/05/12 (11:37:56) | ===> btop++ v.1.4.0
2025/05/12 (11:37:56) | WARNING: Failed to join _runner thread on exit!
